url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/wyckford-commons-indianapolis-in/rs48730/,rs48730,46214,999,1,1,700,53,30,999,39.77637,-86.29749,Chapel Hill Ben Davis,Chapel Hill Ben Davis
https://www.apartments.com/overlook-at-valley-ridge-apartments-indianapolis-in/7k8mpny/,7k8mpny,46237,964,1,1,723,56,23,964,39.66799,-86.07995,South Emerson,South Emerson
https://www.apartments.com/ritchey-reserve-fishers-in/w3pdtel/,w3pdtel,46038,1360,1,1,863,14,0,250,39.94089,-86.02991,Fishers,Fishers
https://www.apartments.com/the-courts-of-monon-indianapolis-in/vg4ckge/,vg4ckge,46205,530,0,1,437,38,46,530,39.82272,-86.13705,Mapleton Fall Creek,Mapleton Fall Creek
https://www.apartments.com/carlton-apartments-indianapolis-in/9f0w2p4/,9f0w2p4,46268,690,1,1,470,26,33,690,39.90541,-86.20854,Indianapolis,Indianapolis
https://www.apartments.com/martinique-terrace-indianapolis-in/62hlj5t/,62hlj5t,46227,879,1,1,850,27,23,879,39.6677,-86.14689,Indianapolis,Indianapolis
https://www.apartments.com/polo-run-apartments-greenwood-in/x5bcy0p/,x5bcy0p,46142,903,0,1,467,64,0,903,39.62871,-86.12909,Southside Indianapolis,Southside Indianapolis
https://www.apartments.com/river-crossing-indianapolis-in/n4zqlyq/,n4zqlyq,46240,1134,1,1,536,42,30,1134,39.91422,-86.10386,Keystone,Keystone
https://www.apartments.com/632-mlk-apartments-indianapolis-in/p3mw4rr/,p3mw4rr,46202,1100,0,1,2178,83,54,1100,39.77648,-86.16736,Downtown Indianapolis,Downtown Indianapolis
https://www.apartments.com/citys-end-indianapolis-in/sfhrlg7/,sfhrlg7,46203,1499,0,1,549,77,39,150,39.75217,-86.13407,Fountain Square,Fountain Square
https://www.apartments.com/mansfield-village-townhomes-indianapolis-in/dem9mml/,dem9mml,46227,1475,2,1.5,1335,43,20,1475,39.63553,-86.14995,Hill Valley,Hill Valley
