,url,listingid,ZIP,Monthly Rent,Bedrooms,Bathrooms,Square Feet,walkScore,transitScore,Deposit,latitude,longitude,Pet,neighborhood
282,https://www.apartments.com/2154-n-riley-ave-indianapolis-in/6gkqfyr/,6gkqfyr,46218,"$1,525",3 bd,1 ba,"1,008 sq ft",28,25,"$1,825 deposit",39.79768,-86.08606,,Near Eastside
283,https://www.apartments.com/fox-club-indianapolis-in/qchfybx/,qchfybx,46227,"$765 - $1,025",1 - 2 bd,1 - 2 ba,"800 - 1,000 sq ft",29,25,,39.70198,-86.12025,,University Heights
284,https://www.apartments.com/butler-place-indianapolis-in/nhs553q/,nhs553q,46219,$625 - $750,Studio - 1 bd,1 ba,353 - 652 sq ft,73,38,,39.77064,-86.07945,,Irvington
285,https://www.apartments.com/the-meridian-south-indianapolis-in/8xcnes0/,8xcnes0,46260,"$765 - $1,964",Studio - 3 bd,1 - 2 ba,"445 - 1,672 sq ft",19,29,$500 deposit,39.88335,-86.19828,,Crooked Creek
286,https://www.apartments.com/dawson-village-indianapolis-in/wdg6h2j/,wdg6h2j,46203,$649 - $715,2 bd,1 ba,700 - 900 sq ft,26,34,$200 deposit,39.73206,-86.12754,,Near Southeast
287,https://www.apartments.com/college-courts-of-nora-indianapolis-in/p2x21vt/,p2x21vt,46240,"$814 - $1,114",1 - 2 bd,1 - 2 ba,"475 - 1,140 sq ft",24,22,,39.92275,-86.14399,0,Nora Far Northside
288,https://www.apartments.com/riverchase-apartments-indianapolis-in/slfy2v5/,slfy2v5,46214,$998,1 - 2 bd,1 - 2 ba,708 - 995 sq ft,18,0,,39.80526,-86.28912,,Key Meadows
289,https://www.apartments.com/everly-at-meridian-hills-indianapolis-in/0eyqdb1/,0eyqdb1,46260,"$1,399 - $2,009",2 - 3 bd,1 - 2 ba,"1,200 - 1,659 sq ft",20,23,,39.87315,-86.17684,,Delaware Trails
290,https://www.apartments.com/river-ridge-indianapolis-in/sy2xsz5/,sy2xsz5,46240,"$1,174 - $1,727",1 - 2 bd,1 - 2 ba,"625 - 1,136 sq ft",37,0,,39.92387,-86.08854,,Keystone
291,https://www.apartments.com/1910-lexington-ave-indianapolis-in/c1kdr9d/,c1kdr9d,46203,$700,1 bd,1 ba,650 sq ft,47,38,$700 deposit,39.7563,-86.12801,,Near Southeast
292,https://www.apartments.com/7614-ardwell-ct-indianapolis-in/1cr00k5/,1cr00k5,46237,"$1,810",3 bd,2.5 ba,"1,911 sq ft",8,0,,39.65678,-86.04699,,South Franklin
293,https://www.apartments.com/woodhaven-park-apartment-indianapolis-in/vz17sre/,vz17sre,46254,"$720 - $1,170",1 - 3 bd,1 - 2 ba,"650 - 1,283 sq ft",37,0,,39.83222,-86.2749,,Northwest High School
294,https://www.apartments.com/2-br-1-bath-house-61-n-devon-ave-indianapolis-in/jngx2r5/,jngx2r5,46219,"$1,150",2 bd,1 ba,900 sq ft,40,34,,39.77533,-86.02086,,East Warren
295,https://www.apartments.com/the-masters-apartments-indianapolis-in/k6ckpsc/,k6ckpsc,46250,"$1,175 - $1,467",1 - 2 bd,1 - 2 ba,"700 - 1,000 sq ft",33,17,,39.91828,-86.04569,,Castleton
296,https://www.apartments.com/7126-parklake-pl-indianapolis-in/k4ljt28/,k4ljt28,46217,"$1,695",3 bd,2.5 ba,"1,582 sq ft",19,0,,39.66142,-86.20379,,Southern Dunes
297,https://www.apartments.com/indy-flats-indianapolis-in/5l46s5q/,5l46s5q,46202,$605 - $922,Studio - 1 bd,1 ba,375 - 569 sq ft,75,57,,39.7847,-86.15449,,Near Northside
